STM32F777VI,,,
Pin,Name,Type,side
D5,BOOT0,in,left
E6,BYPASS_REG,in,left
E1,NRST,bi,left
G2,PA0,bi,left
H2,PA1,bi,left
D10,PA10,bi,left
C10,PA11,bi,left
B10,PA12,bi,left
A10,PA13,bi,left
A9,PA14,bi,left
A8,PA15,bi,left
J2,PA2,bi,left
K2,PA3,bi,left
G3,PA4,bi,left
H3,PA5,bi,left
J3,PA6,bi,left
K3,PA7,bi,left
D9,PA8,bi,left
C9,PA9,bi,left
J4,PB0,bi,left
K4,PB1,bi,left
J7,PB10,bi,left
K7,PB11,bi,left
K8,PB12,bi,left
J8,PB13,bi,left
H10,PB14,bi,left
G10,PB15,bi,left
G5,PB2,bi,left
A7,PB3,bi,left
A6,PB4,bi,left
C5,PB5,bi,left
B5,PB6,bi,left
A5,PB7,bi,left
B4,PB8,bi,left
A4,PB9,bi,left
F1,PC0,bi,right
F2,PC1,bi,right
B9,PC10,bi,right
B8,PC11,bi,right
C8,PC12,bi,right
A2,PC13,bi,right
A1,PC14,bi,right
B1,PC15,bi,right
E2,PC2,bi,right
F3,PC3,bi,right
G4,PC4,bi,right
H4,PC5,bi,right
F10,PC6,bi,right
E10,PC7,bi,right
F9,PC8,bi,right
E9,PC9,bi,right
D8,PD0,bi,right
E8,PD1,bi,right
H9,PD10,bi,right
G9,PD11,bi,right
K10,PD12,bi,right
J10,PD13,bi,right
H8,PD14,bi,right
G8,PD15,bi,right
B7,PD2,bi,right
C7,PD3,bi,right
D7,PD4,bi,right
B6,PD5,bi,right
C6,PD6,bi,right
D6,PD7,bi,right
K9,PD8,bi,right
J9,PD9,bi,right
F7,PDR_ON,pwr,top
D4,PE0,bi,right
C4,PE1,bi,right
G6,PE10,bi,right
H6,PE11,bi,right
J6,PE12,bi,right
K6,PE13,bi,right
G7,PE14,bi,right
H7,PE15,bi,right
A3,PE2,bi,right
B3,PE3,bi,right
C3,PE4,bi,right
D3,PE5,bi,right
E3,PE6,bi,right
H5,PE7,bi,right
J5,PE8,bi,right
K5,PE9,bi,right
C1,PH0,bi,right
D1,PH1,bi,right
B2,VBAT,pwr,left
F8,VCAP_1,pwr,left
E7,VCAP_2,pwr,left
D2,VDD,pwr,top
F4,VDD,pwr,top
F5,VDD,pwr,top
K1,VDD,pwr,top
H1,VDDA,pwr,top
F6,VDDUSB,pwr,left
C2,VSS,pwr,bottom
E4,VSS,pwr,bottom
E5,VSS,pwr,bottom
J1,VSS,pwr,bottom
G1,VSSA,pwr,bottom
