STM32L432K,,,
pin,Name,Type,side
4,nRST,in,left
6,PA0,bi,left
7,PA1,bi,left
20,PA10,bi,left
21,PA11,bi,left
22,PA12,bi,left
23,PA13,bi,left
24,PA14,bi,left
25,PA15,bi,left
8,PA2,bi,left
9,PA3,bi,left
10,PA4,bi,left
11,PA5,bi,left
12,PA6,bi,left
13,PA7,bi,left
18,PA8,bi,left
19,PA9,bi,left
14,PB0,bi,right
15,PB1,bi,right
26,PB3,bi,right
27,PB4,bi,right
28,PB5,bi,right
29,PB6,bi,right
30,PB7,bi,right
2,PC14,bi,right
3,PC15,bi,right
31,PH3-BOOT0,bi,right
1,VDD,Power,top
17,VDD,Power,top
5,VDDA/VREF+,Power,top
16,GND,Power,bottom
32,GND,Power,bottom
